row,id,corp_no,factory_cd,machine,jig_no,voltage,e_current,gas,wire,prod_qty,hit_point,terms,error1,error2,error3,weldtime,tip_change,start_point,mes_trans_ok,mes_trans_time,bigo,starttime,workings_cd,item_no,input_lot,lot_no
135,353167179,100,200,co2#1,1,18.2,246.5,14.4,0,0,1,1,,,-,0,0,0,N,,,14:37.6,,,,
136,353167186,100,200,co2#1,1,18.2,250.9,14.4,0,0,1,1,,,-,0,0,0,N,,,14:38.1,,,,
137,353167193,100,200,co2#1,1,18.1,251.3,14.4,0,0,1,1,,,-,0,0,0,N,,,14:38.6,,,,
138,353167200,100,200,co2#1,1,18,245.8,14.5,0,0,1,1,,,-,0,0,0,N,,,14:39.1,,,,
139,353167207,100,200,co2#1,1,18.4,253.1,14.5,0,0,1,1,,,-,0,0,0,N,,,14:39.7,,,,
140,353167208,100,200,co2#1,1,18.2,245.1,14.4,0,0,1,1,,,-,0,0,0,N,,,14:39.7,,,,
141,353167215,100,200,co2#1,1,18.3,246.5,14.5,0,0,1,1,,,-,0,0,0,N,,,14:40.2,,,,
142,353167220,100,200,co2#1,1,18.1,255.3,14.4,0,0,1,1,,,-,0,0,0,N,,,14:40.7,,,,
143,353167224,100,200,co2#1,1,18.2,258.5,14.4,0,0,1,1,,,-,0,0,0,N,,,14:41.2,,,,
144,353167227,100,200,co2#1,1,18.1,256.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:41.7,,,,
145,353167228,100,200,co2#1,1,18,254.5,14.4,0,0,1,1,,,-,0,0,0,N,,,14:41.7,,,,
146,353167230,100,200,co2#1,1,17.9,256.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:42.2,,,,
147,353167233,100,200,co2#1,1,17.7,252,14.5,0,0,1,1,,,-,0,0,0,N,,,14:42.8,,,,
148,353167239,100,200,co2#1,1,17.7,250.2,14.5,0,0,1,1,,,-,0,0,0,N,,,14:43.3,,,,
149,353167245,100,200,co2#1,1,17.7,250.2,14.5,0,0,1,1,,,-,0,0,0,N,,,14:43.8,,,,
150,353167246,100,200,co2#1,1,17.7,250.2,14.5,0,0,1,1,,,-,0,0,0,N,,,14:43.8,,,,
151,353167260,100,200,co2#1,1,17.8,189.1,14.5,0,0,1,1,,,-,0,0,0,N,,,14:45.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
153,353167288,100,200,co2#1,1,34,142.2,14.9,0,0,1,1,,,-,0,0,0,N,,,14:49.5,,,,
154,353167291,100,200,co2#1,1,34,142.2,14.9,0,0,1,1,,,-,0,0,0,N,,,14:50.0,,,,
155,353167292,100,200,co2#1,1,34,142.2,14.9,0,0,1,1,,,-,0,0,0,N,,,14:50.0,,,,
156,353167294,100,200,co2#1,1,34,142.2,14.9,0,0,1,1,,,-,0,0,0,N,,,14:50.5,,,,
157,353167297,100,200,co2#1,1,52.3,146.2,14.6,0,0,1,1,,,-,0,0,0,N,,,14:51.0,,,,
158,353167302,100,200,co2#1,1,23.9,146.5,14.6,0,0,1,1,,,-,0,0,0,N,,,14:51.5,,,,
159,353167310,100,200,co2#1,1,22.7,165.4,14.4,0,0,1,0,,,-,0,0,0,N,,,14:53.1,,,,
160,353167313,100,200,co2#1,1,18.2,211.3,14.5,0,0,1,1,,,-,0,0,0,N,,,14:53.6,,,,
